condition,count,nc_count
9m_AD_R1,5560.0,152.0
9m_AD_R1,3264.0,69.0
9m_AD_R1,4780.0,99.0
9m_AD_R1,4777.0,90.0
9m_AD_R1,4167.0,86.0
9m_AD_R1,3626.0,82.0
9m_AD_R1,5403.0,133.0
9m_AD_R1,6839.0,154.0
9m_AD_R1,5432.0,90.0
9m_AD_R1,7041.0,166.0
9m_AD_R1,9209.0,297.0
9m_AD_R1,11578.0,368.0
9m_AD_R1,8232.0,192.0
9m_AD_R1,7491.0,180.0
9m_AD_R1,10055.0,357.0
9m_AD_R1,8327.0,273.0
9m_AD_R1,9540.0,288.0
9m_AD_R1,10380.0,404.0
9m_AD_R1,8546.0,265.0
9m_AD_R1,14854.0,488.0
9m_AD_R1,11964.0,411.0
9m_AD_R1,12474.0,411.0
9m_AD_R1,10178.0,271.0
9m_AD_R1,11863.0,371.0
9m_AD_R1,12197.0,485.0
9m_AD_R1,10532.0,326.0
9m_AD_R1,10348.0,304.0
9m_AD_R1,12632.0,381.0
9m_AD_R1,9734.0,327.0
9m_AD_R1,941.0,17.0
9m_AD_R1,867.0,14.0
9m_AD_R1,2174.0,45.0
9m_AD_R1,3702.0,68.0
9m_AD_R1,3778.0,88.0
9m_AD_R1,3417.0,70.0
9m_AD_R1,3954.0,88.0
9m_AD_R1,5756.0,126.0
9m_AD_R1,3316.0,46.0
9m_AD_R1,6373.0,171.0
9m_AD_R1,7560.0,227.0
9m_AD_R1,8261.0,265.0
9m_AD_R1,5423.0,107.0
9m_AD_R1,8092.0,217.0
9m_AD_R1,10041.0,279.0
9m_AD_R1,9536.0,281.0
9m_AD_R1,10265.0,305.0
9m_AD_R1,8967.0,215.0
9m_AD_R1,6942.0,137.0
9m_AD_R1,7619.0,197.0
9m_AD_R1,10727.0,361.0
9m_AD_R1,10404.0,403.0
9m_AD_R1,11111.0,347.0
9m_AD_R1,10056.0,300.0
9m_AD_R1,10378.0,369.0
9m_AD_R1,9601.0,294.0
9m_AD_R1,10860.0,285.0
9m_AD_R1,10473.0,242.0
9m_AD_R1,9705.0,294.0
9m_AD_R1,10316.0,276.0
9m_AD_R1,12147.0,338.0
9m_AD_R1,13795.0,434.0
9m_AD_R1,11139.0,349.0
9m_AD_R1,14193.0,509.0
9m_AD_R1,10323.0,323.0
9m_AD_R1,6231.0,176.0
9m_AD_R1,3912.0,142.0
9m_AD_R1,387.0,9.0
9m_AD_R1,2736.0,108.0
9m_AD_R1,3093.0,61.0
9m_AD_R1,3419.0,84.0
9m_AD_R1,3450.0,42.0
9m_AD_R1,4191.0,73.0
9m_AD_R1,4661.0,90.0
9m_AD_R1,4420.0,97.0
9m_AD_R1,3560.0,63.0
9m_AD_R1,5050.0,137.0
9m_AD_R1,5486.0,137.0
9m_AD_R1,9013.0,276.0
9m_AD_R1,8394.0,224.0
9m_AD_R1,11871.0,368.0
9m_AD_R1,9042.0,247.0
9m_AD_R1,9581.0,228.0
9m_AD_R1,9361.0,262.0
9m_AD_R1,9520.0,203.0
9m_AD_R1,11918.0,391.0
9m_AD_R1,9221.0,281.0
9m_AD_R1,10622.0,296.0
9m_AD_R1,8990.0,282.0
9m_AD_R1,12135.0,417.0
9m_AD_R1,8689.0,207.0
9m_AD_R1,8104.0,225.0
9m_AD_R1,8860.0,214.0
9m_AD_R1,7735.0,211.0
9m_AD_R1,9141.0,324.0
9m_AD_R1,9770.0,285.0
9m_AD_R1,9830.0,304.0
9m_AD_R1,8481.0,260.0
9m_AD_R1,8751.0,237.0
9m_AD_R1,8345.0,185.0
9m_AD_R1,11169.0,366.0
9m_AD_R1,8324.0,272.0
9m_AD_R1,9071.0,221.0
9m_AD_R1,9047.0,243.0
9m_AD_R1,6507.0,170.0
9m_AD_R1,2485.0,74.0
9m_AD_R1,202.0,4.0
9m_AD_R1,1498.0,41.0
9m_AD_R1,2193.0,40.0
9m_AD_R1,3019.0,53.0
9m_AD_R1,3107.0,49.0
9m_AD_R1,2949.0,50.0
9m_AD_R1,3495.0,83.0
